epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,409.733,1.97932,2.29133,1.91929,0.58491,0.38201,0.38629,0.1752,1.84246,2.28333,1.95121,0.00333214,0.00333214,0.0700108
2,802.153,1.83997,2.03397,1.82088,0.65899,0.53001,0.57427,0.28447,1.68797,1.80426,1.78305,0.00659948,0.00659948,0.0399448
3,1191.99,1.74344,1.8395,1.71481,0.63315,0.59726,0.62906,0.34515,1.60435,1.57016,1.7112,0.00980083,0.00980083,0.00981278
4,1579.15,1.67606,1.72334,1.66634,0.74329,0.56808,0.6717,0.39621,1.53863,1.47588,1.65884,0.009703,0.009703,0.009703
5,1968.3,1.62776,1.6101,1.62202,0.75025,0.67939,0.73438,0.4267,1.48507,1.27707,1.60363,0.009604,0.009604,0.009604
6,2356.91,1.58044,1.52672,1.58681,0.69678,0.68413,0.72885,0.43396,1.40976,1.22575,1.52234,0.009505,0.009505,0.009505
7,2745.41,1.55136,1.48262,1.56297,0.79278,0.6672,0.76054,0.46797,1.39032,1.18895,1.52237,0.009406,0.009406,0.009406
8,3133.7,1.53318,1.42731,1.5437,0.75385,0.69087,0.76552,0.46842,1.3682,1.18189,1.50464,0.009307,0.009307,0.009307
9,3521.53,1.51352,1.38393,1.53,0.74138,0.70748,0.77205,0.48242,1.37831,1.12569,1.50234,0.009208,0.009208,0.009208
10,3909.37,1.48049,1.31218,1.49969,0.7595,0.70688,0.78683,0.49216,1.33002,1.04665,1.47514,0.009109,0.009109,0.009109
11,4298.99,1.44651,1.28205,1.48264,0.77056,0.72116,0.80065,0.50506,1.29993,1.01206,1.43075,0.00901,0.00901,0.00901
12,4686.82,1.42404,1.23952,1.46437,0.82409,0.76176,0.83721,0.52798,1.29374,0.95763,1.42937,0.008911,0.008911,0.008911
13,5077.62,1.40821,1.2167,1.45237,0.78683,0.73253,0.809,0.52716,1.22009,0.97031,1.38322,0.008812,0.008812,0.008812
14,5466.78,1.39298,1.19705,1.44193,0.81435,0.75368,0.82863,0.52937,1.2468,0.91063,1.39528,0.008713,0.008713,0.008713
